id,parent_id/id,code,name,user_type_id/id,reconcile,company_ids/id,chart_template_id/id
kaBS,,BS,NERACA,ka_account.data_account_type_view,FALSE,"base.kantor_direksi,base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka100000U00,kaBS,100000.U00,ASET,ka_account.data_account_type_view,FALSE,"base.kantor_direksi,base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka110000U00,ka100000U00,110000.U00,ASET LANCAR,ka_account.data_account_type_view,FALSE,"base.kantor_direksi,base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka111000U00,ka110000U00,111000.U00,KAS & SETARA KAS,ka_account.data_account_type_view,FALSE,"base.kantor_direksi,base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka111100U00,ka111000U00,111100.U00,KAS,ka_account.data_account_type_view,FALSE,"base.kantor_direksi,base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka1000U00,ka111100U00,1000.U00,Kas Jakarta,account.data_account_type_liquidity,FALSE,base.kantor_direksi,ka_configurable_chart_template
ka1001U00,ka111100U00,1001.U00,Kas Surabaya,account.data_account_type_liquidity,FALSE,base.kantor_direksi,ka_configurable_chart_template
ka1000U00X,ka111100U00,1000.U00X,Kas Malang,account.data_account_type_liquidity,FALSE,base.pg_kebonagung,ka_configurable_chart_template
ka1000U00XX,ka111100U00,1000.U00XX,Kas Trangkil,account.data_account_type_liquidity,FALSE,base.pg_trangkil,ka_configurable_chart_template
ka111200U00,ka111000U00,111200.U00,BANK,ka_account.data_account_type_view,FALSE,"base.kantor_direksi,base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka1021U00,ka111200U00,1021.U00,Bank Mandiri Margorejo Surabaya,account.data_account_type_liquidity,FALSE,base.kantor_direksi,ka_configurable_chart_template
ka1029U00,ka111200U00,1029.U00,Bank Mandiri Margorejo Surabaya (USD),account.data_account_type_liquidity,FALSE,base.kantor_direksi,ka_configurable_chart_template
ka1027U00,ka111200U00,1027.U00,Bank Mandiri Margorejo Surabaya (Yen),account.data_account_type_liquidity,FALSE,base.kantor_direksi,ka_configurable_chart_template
ka1020U00,ka111200U00,1020.U00,Bank BRI Kaliasin Surabaya,account.data_account_type_liquidity,FALSE,base.kantor_direksi,ka_configurable_chart_template
ka1020U0X,ka111200U00,1020.U0X,Bank CIMB Niaga Surabaya,account.data_account_type_liquidity,FALSE,base.kantor_direksi,ka_configurable_chart_template
